Pais;Categoria;Subcategoria;KPI;Canal;Periodo;Valor;Variacion_vs_PY
Center Zone;FMCG;;Penetration;Total Market;MAT Dec-23;100;
Center Zone;FMCG;;Penetration;Total Market;MAT Dec-24;100;
Center Zone;FMCG;;Penetration;Total Market;MAT Dec-25;100;
Center Zone;FMCG;;Penetration;Modern Trade;MAT Dec-23;96.9;-0.20000000000000284
Center Zone;FMCG;;Penetration;Modern Trade;MAT Dec-24;98.3;-0.20000000000000284
Center Zone;FMCG;;Penetration;Modern Trade;MAT Dec-25;98.1;-0.20000000000000284
Center Zone;FMCG;;Penetration;Hypermarket;MAT Dec-23;70.2;4.099999999999994
Center Zone;FMCG;;Penetration;Hypermarket;MAT Dec-24;76.2;4.099999999999994
Center Zone;FMCG;;Penetration;Hypermarket;MAT Dec-25;80.3;4.099999999999994
Center Zone;FMCG;;Penetration;Supermarket;MAT Dec-23;74.6;2
Center Zone;FMCG;;Penetration;Supermarket;MAT Dec-24;80.6;2
Center Zone;FMCG;;Penetration;Supermarket;MAT Dec-25;82.6;2
Center Zone;FMCG;;Penetration;Convenience;MAT Dec-23;15.8;9.400000000000002
Center Zone;FMCG;;Penetration;Convenience;MAT Dec-24;23.7;9.400000000000002
Center Zone;FMCG;;Penetration;Convenience;MAT Dec-25;33.1;9.400000000000002
Center Zone;FMCG;;Penetration;Discounters;MAT Dec-23;83.7;3.3999999999999915
Center Zone;FMCG;;Penetration;Discounters;MAT Dec-24;91.4;3.3999999999999915
Center Zone;FMCG;;Penetration;Discounters;MAT Dec-25;94.8;3.3999999999999915
Center Zone;FMCG;;Penetration;Wholesalers;MAT Dec-23;49.2;5.399999999999999
Center Zone;FMCG;;Penetration;Wholesalers;MAT Dec-24;54.9;5.399999999999999
Center Zone;FMCG;;Penetration;Wholesalers;MAT Dec-25;60.3;5.399999999999999
Center Zone;FMCG;;Penetration;Traditional Trade;MAT Dec-23;99.6;0
Center Zone;FMCG;;Penetration;Traditional Trade;MAT Dec-24;99.8;0
Center Zone;FMCG;;Penetration;Traditional Trade;MAT Dec-25;99.8;0
Center Zone;FMCG;;Penetration;Minimarkets;MAT Dec-23;74.2;2.8000000000000114
Center Zone;FMCG;;Penetration;Minimarkets;MAT Dec-24;81.1;2.8000000000000114
Center Zone;FMCG;;Penetration;Minimarkets;MAT Dec-25;83.9;2.8000000000000114
Center Zone;FMCG;;Penetration;Traditional Stores;MAT Dec-23;95.8;-0.29999999999999716
Center Zone;FMCG;;Penetration;Traditional Stores;MAT Dec-24;96.7;-0.29999999999999716
Center Zone;FMCG;;Penetration;Traditional Stores;MAT Dec-25;96.4;-0.29999999999999716
Center Zone;FMCG;;Penetration;Pharma;MAT Dec-23;69;3.200000000000003
Center Zone;FMCG;;Penetration;Pharma;MAT Dec-24;73.2;3.200000000000003
Center Zone;FMCG;;Penetration;Pharma;MAT Dec-25;76.4;3.200000000000003
Center Zone;FMCG;;Penetration;Ecomm;MAT Dec-23;27.9;16
Center Zone;FMCG;;Penetration;Ecomm;MAT Dec-24;37.5;16
Center Zone;FMCG;;Penetration;Ecomm;MAT Dec-25;53.5;16
Center Zone;FMCG;;Penetration;Door to Door;MAT Dec-23;78.3;1.6000000000000085
Center Zone;FMCG;;Penetration;Door to Door;MAT Dec-24;80.8;1.6000000000000085
