Pais;Categoria;KPI;Canal;Periodo;Valor;Variacion_vs_PY
Center Zone;FMCG;Transactions Share %;Total Market;MAT Q4.25;100;
Guatemala;FMCG;Transactions Share %;Total Market;MAT Q4.25;100;
Costa Rica;FMCG;Transactions Share %;Total Market;MAT Q4.25;100;
Honduras;FMCG;Transactions Share %;Total Market;MAT Q4.25;100;
Republica Dominicana;FMCG;Transactions Share %;Total Market;MAT Q4.25;100;
Peru;FMCG;Transactions Share %;Total Market;MAT Q4.25;100;
Ecuador;FMCG;Transactions Share %;Total Market;MAT Q4.25;100;
Colombia;FMCG;Transactions Share %;Total Market;MAT Q4.25;100;
Center Zone;FMCG;Transactions Share %;Total Market;MAT Q4.24;100;
Guatemala;FMCG;Transactions Share %;Total Market;MAT Q4.24;100;
Costa Rica;FMCG;Transactions Share %;Total Market;MAT Q4.24;100;
Honduras;FMCG;Transactions Share %;Total Market;MAT Q4.24;100;
Republica Dominicana;FMCG;Transactions Share %;Total Market;MAT Q4.24;100;
Peru;FMCG;Transactions Share %;Total Market;MAT Q4.24;100;
Ecuador;FMCG;Transactions Share %;Total Market;MAT Q4.24;100;
Colombia;FMCG;Transactions Share %;Total Market;MAT Q4.24;100;
Center Zone;FMCG;Transactions Share %;Modern Trade (Including Wholesalers);MAT Q4.25;29.6875864734134;
Guatemala;FMCG;Transactions Share %;Modern Trade (Including Wholesalers);MAT Q4.25;18;
Costa Rica;FMCG;Transactions Share %;Modern Trade (Including Wholesalers);MAT Q4.25;39.7;
Honduras;FMCG;Transactions Share %;Modern Trade (Including Wholesalers);MAT Q4.25;13.7;
Republica Dominicana;FMCG;Transactions Share %;Modern Trade (Including Wholesalers);MAT Q4.25;35.18;
Peru;FMCG;Transactions Share %;Modern Trade (Including Wholesalers);MAT Q4.25;10.8;
Ecuador;FMCG;Transactions Share %;Modern Trade (Including Wholesalers);MAT Q4.25;36.9;
Colombia;FMCG;Transactions Share %;Modern Trade (Including Wholesalers);MAT Q4.25;40.596403691356805;
Center Zone;FMCG;Transactions Share %;Modern Trade (Including Wholesalers);MAT Q4.24;25.9509383825243;
Guatemala;FMCG;Transactions Share %;Modern Trade (Including Wholesalers);MAT Q4.24;16.9;
Costa Rica;FMCG;Transactions Share %;Modern Trade (Including Wholesalers);MAT Q4.24;35.1;
Honduras;FMCG;Transactions Share %;Modern Trade (Including Wholesalers);MAT Q4.24;12.7;
Republica Dominicana;FMCG;Transactions Share %;Modern Trade (Including Wholesalers);MAT Q4.24;41.31;
Peru;FMCG;Transactions Share %;Modern Trade (Including Wholesalers);MAT Q4.24;8.8;
Ecuador;FMCG;Transactions Share %;Modern Trade (Including Wholesalers);MAT Q4.24;30.3;
Colombia;FMCG;Transactions Share %;Modern Trade (Including Wholesalers);MAT Q4.24;36.55083586091806;
Center Zone;FMCG;Transactions Share %;Hypermarket;MAT Q4.25;5.15835789050847;
Guatemala;FMCG;Transactions Share %;Hypermarket;MAT Q4.25;0.3;
Costa Rica;FMCG;Transactions Share %;Hypermarket;MAT Q4.25;1.9;
Honduras;FMCG;Transactions Share %;Hypermarket;MAT Q4.25;0.7;
Republica Dominicana;FMCG;Transactions Share %;Hypermarket;MAT Q4.25;9.86;
Peru;FMCG;Transactions Share %;Hypermarket;MAT Q4.25;4.3;
Ecuador;FMCG;Transactions Share %;Hypermarket;MAT Q4.25;2.9;
Colombia;FMCG;Transactions Share %;Hypermarket;MAT Q4.25;7.2;
Center Zone;FMCG;Transactions Share %;Hypermarket;MAT Q4.24;4.60954118914184;
Guatemala;FMCG;Transactions Share %;Hypermarket;MAT Q4.24;0.3;
Costa Rica;FMCG;Transactions Share %;Hypermarket;MAT Q4.24;1.5;
Honduras;FMCG;Transactions Share %;Hypermarket;MAT Q4.24;0.4;
Republica Dominicana;FMCG;Transactions Share %;Hypermarket;MAT Q4.24;14.63;
Peru;FMCG;Transactions Share %;Hypermarket;MAT Q4.24;3.6;
Ecuador;FMCG;Transactions Share %;Hypermarket;MAT Q4.24;2.8;
Colombia;FMCG;Transactions Share %;Hypermarket;MAT Q4.24;6.8;
Center Zone;FMCG;Transactions Share %;Supermarket;MAT Q4.25;7.93350224383747;
Guatemala;FMCG;Transactions Share %;Supermarket;MAT Q4.25;3.2;
Costa Rica;FMCG;Transactions Share %;Supermarket;MAT Q4.25;12.6;
Honduras;FMCG;Transactions Share %;Supermarket;MAT Q4.25;4.4;
Republica Dominicana;FMCG;Transactions Share %;Supermarket;MAT Q4.25;24.57;
Peru;FMCG;Transactions Share %;Supermarket;MAT Q4.25;1.2;
Ecuador;FMCG;Transactions Share %;Supermarket;MAT Q4.25;18.4;
Colombia;FMCG;Transactions Share %;Supermarket;MAT Q4.25;6.8;
Center Zone;FMCG;Transactions Share %;Supermarket;MAT Q4.24;7.31247394610539;
Guatemala;FMCG;Transactions Share %;Supermarket;MAT Q4.24;2.7;
Costa Rica;FMCG;Transactions Share %;Supermarket;MAT Q4.24;10.7;
Honduras;FMCG;Transactions Share %;Supermarket;MAT Q4.24;4.1;
Republica Dominicana;FMCG;Transactions Share %;Supermarket;MAT Q4.24;25.88;
Peru;FMCG;Transactions Share %;Supermarket;MAT Q4.24;1.7;
Ecuador;FMCG;Transactions Share %;Supermarket;MAT Q4.24;15.1;
Colombia;FMCG;Transactions Share %;Supermarket;MAT Q4.24;6.5;
Center Zone;FMCG;Transactions Share %;Neighborhood + Convenience;MAT Q4.25;0.617993563993741;
Guatemala;FMCG;Transactions Share %;Neighborhood + Convenience;MAT Q4.25;1.8;
Costa Rica;FMCG;Transactions Share %;Neighborhood + Convenience;MAT Q4.25;0.3;
Honduras;FMCG;Transactions Share %;Neighborhood + Convenience;MAT Q4.25;1.1;
Republica Dominicana;FMCG;Transactions Share %;Neighborhood + Convenience;MAT Q4.25;0.16;
Peru;FMCG;Transactions Share %;Neighborhood + Convenience;MAT Q4.25;0.5;
Ecuador;FMCG;Transactions Share %;Neighborhood + Convenience;MAT Q4.25;0.9;
Colombia;FMCG;Transactions Share %;Neighborhood + Convenience;MAT Q4.25;0.3;
Center Zone;FMCG;Transactions Share %;Neighborhood + Convenience;MAT Q4.24;0.474592157049123;
Guatemala;FMCG;Transactions Share %;Neighborhood + Convenience;MAT Q4.24;1.2;
Costa Rica;FMCG;Transactions Share %;Neighborhood + Convenience;MAT Q4.24;0.3;
Honduras;FMCG;Transactions Share %;Neighborhood + Convenience;MAT Q4.24;1.1;
Republica Dominicana;FMCG;Transactions Share %;Neighborhood + Convenience;MAT Q4.24;0.3;
Peru;FMCG;Transactions Share %;Neighborhood + Convenience;MAT Q4.24;0.5;
Ecuador;FMCG;Transactions Share %;Neighborhood + Convenience;MAT Q4.24;0.7;
Colombia;FMCG;Transactions Share %;Neighborhood + Convenience;MAT Q4.24;0.2;
Center Zone;FMCG;Transactions Share %;Discounters;MAT Q4.25;14.6587241894807;
Guatemala;FMCG;Transactions Share %;Discounters;MAT Q4.25;12.6;
Costa Rica;FMCG;Transactions Share %;Discounters;MAT Q4.25;24.7;
Honduras;FMCG;Transactions Share %;Discounters;MAT Q4.25;7.3;
Republica Dominicana;FMCG;Transactions Share %;Discounters;MAT Q4.25;0;
Peru;FMCG;Transactions Share %;Discounters;MAT Q4.25;4.6;
Ecuador;FMCG;Transactions Share %;Discounters;MAT Q4.25;10;
Colombia;FMCG;Transactions Share %;Discounters;MAT Q4.25;25;
Center Zone;FMCG;Transactions Share %;Discounters;MAT Q4.24;12.3685391172106;
Guatemala;FMCG;Transactions Share %;Discounters;MAT Q4.24;12.6;
Costa Rica;FMCG;Transactions Share %;Discounters;MAT Q4.24;22.4;
Honduras;FMCG;Transactions Share %;Discounters;MAT Q4.24;6.6;
Republica Dominicana;FMCG;Transactions Share %;Discounters;MAT Q4.24;0;
Peru;FMCG;Transactions Share %;Discounters;MAT Q4.24;3;
Ecuador;FMCG;Transactions Share %;Discounters;MAT Q4.24;7;
Colombia;FMCG;Transactions Share %;Discounters;MAT Q4.24;21.9;
Center Zone;FMCG;Transactions Share %;Wholesalers;MAT Q4.25;1.72177092657454;
Guatemala;FMCG;Transactions Share %;Wholesalers;MAT Q4.25;0.3;
Costa Rica;FMCG;Transactions Share %;Wholesalers;MAT Q4.25;1.4;
Honduras;FMCG;Transactions Share %;Wholesalers;MAT Q4.25;0.4;
Republica Dominicana;FMCG;Transactions Share %;Wholesalers;MAT Q4.25;0.81;
Peru;FMCG;Transactions Share %;Wholesalers;MAT Q4.25;1.6;
Ecuador;FMCG;Transactions Share %;Wholesalers;MAT Q4.25;4.7;
Colombia;FMCG;Transactions Share %;Wholesalers;MAT Q4.25;1.4;
Center Zone;FMCG;Transactions Share %;Wholesalers;MAT Q4.24;1.57810272323255;
Guatemala;FMCG;Transactions Share %;Wholesalers;MAT Q4.24;0.2;
