Pais;Categoria;KPI;Canal;Periodo;Valor;Variacion_vs_PY
Guatemala;FMCG;Occasions Share %;Total Market;MAT Q4.25;100;
Costa Rica;FMCG;Occasions Share %;Total Market;MAT Q4.25;100;
Honduras;FMCG;Occasions Share %;Total Market;MAT Q4.25;100;
Republica Dominicana;FMCG;Occasions Share %;Total Market;MAT Q4.25;100;
Peru;FMCG;Occasions Share %;Total Market;MAT Q4.25;100;
Ecuador;FMCG;Occasions Share %;Total Market;MAT Q4.25;100;
Colombia;FMCG;Occasions Share %;Total Market;MAT Q4.25;100;
Guatemala;FMCG;Occasions Share %;Total Market;MAT Q4.24;100;
Costa Rica;FMCG;Occasions Share %;Total Market;MAT Q4.24;100;
Honduras;FMCG;Occasions Share %;Total Market;MAT Q4.24;100;
Republica Dominicana;FMCG;Occasions Share %;Total Market;MAT Q4.24;100;
Peru;FMCG;Occasions Share %;Total Market;MAT Q4.24;100;
Ecuador;FMCG;Occasions Share %;Total Market;MAT Q4.24;100;
Colombia;FMCG;Occasions Share %;Total Market;MAT Q4.24;100;
Guatemala;FMCG;Occasions Share %;Modern Trade (Including Wholesalers);MAT Q4.25;18;
Costa Rica;FMCG;Occasions Share %;Modern Trade (Including Wholesalers);MAT Q4.25;39.7;
Honduras;FMCG;Occasions Share %;Modern Trade (Including Wholesalers);MAT Q4.25;13.7;
Republica Dominicana;FMCG;Occasions Share %;Modern Trade (Including Wholesalers);MAT Q4.25;35.18;
Peru;FMCG;Occasions Share %;Modern Trade (Including Wholesalers);MAT Q4.25;10.8;
Ecuador;FMCG;Occasions Share %;Modern Trade (Including Wholesalers);MAT Q4.25;36.9;
Colombia;FMCG;Occasions Share %;Modern Trade (Including Wholesalers);MAT Q4.25;40.596403691356805;
Guatemala;FMCG;Occasions Share %;Modern Trade (Including Wholesalers);MAT Q4.24;16.9;
Costa Rica;FMCG;Occasions Share %;Modern Trade (Including Wholesalers);MAT Q4.24;35.1;
Honduras;FMCG;Occasions Share %;Modern Trade (Including Wholesalers);MAT Q4.24;12.7;
Republica Dominicana;FMCG;Occasions Share %;Modern Trade (Including Wholesalers);MAT Q4.24;41.31;
Peru;FMCG;Occasions Share %;Modern Trade (Including Wholesalers);MAT Q4.24;8.8;
Ecuador;FMCG;Occasions Share %;Modern Trade (Including Wholesalers);MAT Q4.24;30.3;
