Pais;Categoria;KPI;Canal;Periodo;Valor;Variacion_vs_PY
Center Zone;NARTD;Incidence vs FMCG;Total Channels;MAT Q4-23;20.0407742069965;
Center Zone;NARTD;Incidence vs FMCG;Total Channels;MAT Q4-24;20.1804729845416;
Center Zone;NARTD;Incidence vs FMCG;Total Channels;MAT Q4-25;20.4924885660556;
Guatemala;NARTD;Incidence vs FMCG;Total Channels;MAT Q4-23;28.5;
Guatemala;NARTD;Incidence vs FMCG;Total Channels;MAT Q4-24;28.5;
Guatemala;NARTD;Incidence vs FMCG;Total Channels;MAT Q4-25;28.4;
Costa Rica;NARTD;Incidence vs FMCG;Total Channels;MAT Q4-23;19.7;
Costa Rica;NARTD;Incidence vs FMCG;Total Channels;MAT Q4-24;19.7;
Costa Rica;NARTD;Incidence vs FMCG;Total Channels;MAT Q4-25;18.1;
Honduras;NARTD;Incidence vs FMCG;Total Channels;MAT Q4-23;42.9;
Honduras;NARTD;Incidence vs FMCG;Total Channels;MAT Q4-24;43.6;
Honduras;NARTD;Incidence vs FMCG;Total Channels;MAT Q4-25;45.2;
Republica Dominicana;NARTD;Incidence vs FMCG;Total Channels;MAT Q4-23;;
Republica Dominicana;NARTD;Incidence vs FMCG;Total Channels;MAT Q4-24;25.39;
Republica Dominicana;NARTD;Incidence vs FMCG;Total Channels;MAT Q4-25;22.4;
Colombia;NARTD;Incidence vs FMCG;Total Channels;MAT Q4-23;12.5;
Colombia;NARTD;Incidence vs FMCG;Total Channels;MAT Q4-24;13.3;
Colombia;NARTD;Incidence vs FMCG;Total Channels;MAT Q4-25;14;
Peru;NARTD;Incidence vs FMCG;Total Channels;MAT Q4-23;21;
Peru;NARTD;Incidence vs FMCG;Total Channels;MAT Q4-24;19.8;
Peru;NARTD;Incidence vs FMCG;Total Channels;MAT Q4-25;20.9;
Ecuador;NARTD;Incidence vs FMCG;Total Channels;MAT Q4-23;28.7;
Ecuador;NARTD;Incidence vs FMCG;Total Channels;MAT Q4-24;26.5;
Ecuador;NARTD;Incidence vs FMCG;Total Channels;MAT Q4-25;24.4;
Center Zone;NARTD;Incidence vs FMCG;Modern Trade;MAT Q4-23;18.1490902032203;
Center Zone;NARTD;Incidence vs FMCG;Modern Trade;MAT Q4-24;17.8842740554452;
Center Zone;NARTD;Incidence vs FMCG;Modern Trade;MAT Q4-25;17.5239361806644;
Guatemala;NARTD;Incidence vs FMCG;Modern Trade;MAT Q4-23;15.9;
Guatemala;NARTD;Incidence vs FMCG;Modern Trade;MAT Q4-24;19.4;
Guatemala;NARTD;Incidence vs FMCG;Modern Trade;MAT Q4-25;22.2;
Costa Rica;NARTD;Incidence vs FMCG;Modern Trade;MAT Q4-23;20.7;
